Name of medicine,EMA product number,Medicine status,International non-proprietary name (INN) / common name,Active substance
Glustin,EMEA/H/C/000286,Withdrawn,pioglitazone,pioglitazone hydrochloride
Activyl Tick Plus,EMEA/V/C/002234,Withdrawn,indoxacarb;permethrin,indoxacarb;permethrin
Firmagon,EMEA/H/C/000986,Authorised,degarelix,degarelix
Nobilis OR Inac,EMEA/V/C/000062,Withdrawn,adjuvanted inactivated vaccine against Ornithobacterium rhinotracheale serotype A,"inactivated whole cell suspension of Ornithobacterium rhinotracheale serotype A, strain B3263/91"
HemAryo,EMEA/H/C/005547,Application withdrawn,eptacog alfa (activated),eptacog alfa (activated)
Zalviso,EMEA/H/C/002784,Withdrawn,sufentanil,sufentanil
Incresync,EMEA/H/C/002178,Authorised,alogliptin;pioglitazone,alogliptin;pioglitazone
Pioglitazone Teva Pharma,EMEA/H/C/002410,Withdrawn,pioglitazone,pioglitazone hydrochloride
Epivir,EMEA/H/C/000107,Authorised,lamivudine,lamivudine
Combivir,EMEA/H/C/000190,Authorised,lamivudine;zidovudine,lamivudine;zidovudine
Aptivus,EMEA/H/C/000631,Authorised,tipranavir,tipranavir
Zynquista,EMEA/H/C/004889,Withdrawn,sotagliflozin,sotagliflozin
Thymanax,EMEA/H/C/000916,Withdrawn,agomelatine,agomelatine
Aduhelm,EMEA/H/C/005558,Application withdrawn,aducanumab,aducanumab
Bovilis BTV8,EMEA/V/C/000148,Withdrawn,bluetongue virus serotype 8,"bluetongue virus vaccine, serotype 8 (inactivated)"
Ganirelix Gedeon Richter,EMEA/H/C/005641,Authorised,ganirelix,ganirelix acetate
Episalvan,EMEA/H/C/003938,Withdrawn,birch bark extract,Betulae cortex
Elmiron,EMEA/H/C/004246,Authorised,pentosan polysulfate sodium,pentosan polysulfate sodium
Deferiprone Lipomed,EMEA/H/C/004710,Authorised,deferiprone,Deferiprone
Crixivan,EMEA/H/C/000128,Withdrawn,indinavir,indinavir sulfate ethanolate
Ibandronic Acid Sandoz,EMEA/H/C/002367,Authorised,ibandronic acid,ibandronic acid
Senstend,EMEA/H/C/005298,Withdrawn,lidocaine;prilocaine,lidocaine;prilocaine
Imatinib Actavis,EMEA/H/C/002594,Withdrawn,imatinib,imatinib
Sildenafil Teva,EMEA/H/C/001073,Authorised,sildenafil,sildenafil
Cuprymina,EMEA/H/C/002136,Authorised,copper (64Cu) chloride,copper (64Cu) chloride
Memantine ratiopharm,EMEA/H/C/002671,Authorised,memantine,memantine hydrochloride
Starlix,EMEA/H/C/000335,Withdrawn,nateglinide,nateglinide
Bronchitol,EMEA/H/C/001252,Authorised,mannitol,mannitol
Optison,EMEA/H/C/000166,Authorised,perflutren,perflutren
Kiovig,EMEA/H/C/000628,Authorised,human normal immunoglobulin,human normal immunoglobulin (IVIg)
Desloratadine ratiopharm,EMEA/H/C/002404,Authorised,desloratadine,desloratadine
Sildenafil ratiopharm,EMEA/H/C/001080,Authorised,sildenafil,sildenafil
Sitoiganap,EMEA/H/C/003693,Application withdrawn,autologous glioma tumor cell lysates (inactivated);allogeneic glioma tumor cell lysates (inactivated);allogeneic glioma tumor cells (inactivated);autologous glioma tumor cells (inactivated),allogeneic glioma tumor cell lysates (inactivated);allogeneic glioma tumor cells (inactivated);autologous glioma tumor cell lysates (inactivated);autologous glioma tumor cells (inactivated)
Desloratadine Teva,EMEA/H/C/002419,Authorised,desloratadine,desloratadine
Dasselta,EMEA/H/C/002310,Authorised,desloratadine,desloratadine
Amifampridine SERB,EMEA/H/C/005839,Authorised,amifampridine,amifampridine phosphate
Ipique,EMEA/H/C/005433,Refused,bevacizumab,bevacizumab
Neffy,EMEA/H/C/005584,Application withdrawn,epinephrine,epinephrine
Rasilez HCT,EMEA/H/C/000964,Withdrawn,aliskiren;hydrochlorothiazide,aliskiren;hydrochlorothiazide
Docetaxel Zentiva (previously Docetaxel Winthrop),EMEA/H/C/000808,Withdrawn,docetaxel,docetaxel
Pregabalin Mylan Pharma,EMEA/H/C/003962,Withdrawn,pregabalin,pregabalin
Arsenic trioxide medac,EMEA/H/C/005218,Authorised,arsenic trioxide,arsenic trioxide
Zektayos - Hepjuvo,EMEA/H/C/005249,Application withdrawn,obeticholic acid,obeticholic acid
Palonosetron Hospira,EMEA/H/C/004069,Withdrawn,palonosetron,palonosetron hydrochloride
Dukoral,EMEA/H/C/000476,Authorised,"cholera vaccine (inactivated, oral)",recombinant cholera toxin B subunit;vibrio cholerae 01
Skysona,EMEA/H/C/003690,Withdrawn,elivaldogene autotemcel,elivaldogene autotemcel
Stimufend,EMEA/H/C/004780,Authorised,pegfilgrastim,pegfilgrastim
Tractocile,EMEA/H/C/000253,Authorised,atosiban,atosiban (as acetate)
Temomedac,EMEA/H/C/001124,Authorised,temozolomide,temozolomide
NovoThirteen,EMEA/H/C/002284,Authorised,catridecacog,catridecacog
Integrilin,EMEA/H/C/000230,Authorised,eptifibatide,eptifibatide
Vivanza,EMEA/H/C/000488,Withdrawn,vardenafil,vardenafil
RenuTend,EMEA/V/C/005428,Authorised,tenogenic primed equine allogeneic peripheral blood-derived mesenchymal stem cells,tenogenic primed equine allogeneic peripheral blood-derived mesenchymal stem cells
Leganto,EMEA/H/C/002380,Withdrawn,rotigotine,rotigotine
Raylumis,EMEA/H/C/005189,Refused,tanezumab,tanezumab
Staquis,EMEA/H/C/004863,Withdrawn,crisaborole,Crisaborole
Imoxat,EMEA/V/C/005597,Authorised,imidacloprid;moxidectin,imidacloprid;moxidectin
Atripla,EMEA/H/C/000797,Withdrawn,efavirenz;emtricitabine;tenofovir disoproxil,efavirenz;emtricitabine;tenofovir disoproxil fumarate
Forsteo,EMEA/H/C/000425,Authorised,teriparatide,teriparatide
Nouryant,EMEA/H/C/005308,Refused,istradefylline,Istradefylline
Ytracis,EMEA/H/C/000460,Withdrawn,yttrium [90Y] chloride,yttrium (90Y) chloride
Pantoloc Control,EMEA/H/C/001100,Withdrawn,pantoprazole,pantoprazole
Beromun,EMEA/H/C/000206,Authorised,tasonermin,tasonermin
Ebixa,EMEA/H/C/000463,Authorised,memantine,memantine hydrochloride
Hydrocortisone aceponate Ecuphar (previously Cortacare),EMEA/V/C/004689,Authorised,hydrocortisone aceponate,hydrocortisone aceponate
Livmarli,EMEA/H/C/005551,Application withdrawn,maralixibat,Maralixibat chloride
Lenalidomide Krka d.d. Novo mesto (previously Lenalidomide Krka),EMEA/H/C/005734,Authorised,lenalidomide,lenalidomide hydrochloride monohydrate
Docetaxel Teva,EMEA/H/C/001107,Withdrawn,docetaxel,docetaxel
Marixino (previously Maruxa),EMEA/H/C/002658,Authorised,memantine,memantine hydrochloride
Increxxa,EMEA/V/C/005305,Authorised,tulathromycin,tulathromycin
Flynpovi,EMEA/H/C/005043,Application withdrawn,eflornithine;sulindac,eflornithine hydrochloride;sulindac
Zynyz,EMEA/H/C/005632,Application withdrawn,retifanlimab,retifanlimab
Pemetrexed Lilly,EMEA/H/C/004114,Withdrawn,pemetrexed,pemetrexed
Equidacent,EMEA/H/C/005181,Withdrawn,bevacizumab,bevacizumab
Coliprotec F4,EMEA/V/C/003797,Withdrawn,"Escherichia coli, type 08, strain K87 (live)",live non-pathogenic Escherichia coli O8:K87
Zoledronic Acid Hospira,EMEA/H/C/002365,Authorised,zoledronic acid,zoledronic acid monohydrate
Telmisartan Teva Pharma,EMEA/H/C/002511,Authorised,telmisartan,telmisartan
CureVac’s COVID-19 vaccine (CVnCoV),EMEA/H/C/005845,Withdrawn from rolling review,COVID-19 mRNA vaccine,"single-stranded, 5’-capped messenger RNA (mRNA) produced using a cell-free in vitro transcription from the corresponding DNA templates, encoding the viral spike (S) protein of SARS-CoV-2"
Oportuzumab monatox DLRC Pharma Services,EMEA/H/C/005730,Application withdrawn,oportuzumab monatox,oportuzumab monatox
Inductos,EMEA/H/C/000408,Authorised,dibotermin alfa,dibotermin alfa
Sildenafil FGK,EMEA/H/C/005439,Application withdrawn,sildenafil,sildenafil citrate
Entacapone Teva,EMEA/H/C/002075,Authorised,entacapone,entacapone
Raloxifene Teva,EMEA/H/C/001075,Authorised,raloxifene,raloxifene hydrochloride
Abasaglar (previously Abasria),EMEA/H/C/002835,Authorised,insulin glargine,insulin glargine
Fiasp,EMEA/H/C/004046,Authorised,insulin aspart,insulin aspart
Telmisartan Teva,EMEA/H/C/001146,Withdrawn,telmisartan,telmisartan
Teriparatide Cinnagen,EMEA/H/C/005543,Application withdrawn,teriparatide,teriparatide
Caspofungin Accord,EMEA/H/C/004134,Expired,caspofungin,caspofungin acetate
Porcilis Pesti,EMEA/V/C/000046,Withdrawn,adjuvanted vaccine against classical swine fever,Classical Swine Fever Virus (CSFV) -E2 subunit antigen
Ritemvia,EMEA/H/C/004725,Withdrawn,rituximab,rituximab
Lumoxiti,EMEA/H/C/005322,Withdrawn,moxetumomab pasudotox,moxetumomab pasudotox
Azacitidine Celgene,EMEA/H/C/005300,Withdrawn,azacitidine,azacitidine
Pemetrexed Pfizer (previously Pemetrexed Hospira UK Limited),EMEA/H/C/004488,Withdrawn,pemetrexed,pemetrexed ditromethamine
Portrazza,EMEA/H/C/003886,Withdrawn,necitumumab,necitumumab
Levemir,EMEA/H/C/000528,Authorised,insulin detemir,Insulin detemir
Ulipristal Acetate Gedeon Richter,EMEA/H/C/005017,Withdrawn,ulipristal acetate,ulipristal acetate
Ribavirin Teva Pharma B.V.,EMEA/H/C/001064,Withdrawn,ribavirin,ribavirin
Ribavirin Teva,EMEA/H/C/001018,Withdrawn,ribavirin,ribavirin
Kexxtone,EMEA/V/C/002235,Suspended,monensin,monensin (as monensin sodium)
Nodetrip (previously Xeristar),EMEA/H/C/000573,Withdrawn,duloxetine,duloxetine
PegIntron,EMEA/H/C/000280,Withdrawn,peginterferon alfa-2b,peginterferon alfa-2b
NovoEight,EMEA/H/C/002719,Authorised,turoctocog alfa,turoctocog alfa
Spironolactone Ceva,EMEA/V/C/000105,Withdrawn,spironolactone,spironolactone
Tibsovo,EMEA/H/C/005056,Application withdrawn,ivosidenib,Ivosidenib
Acticam,EMEA/V/C/000138,Withdrawn,meloxicam,meloxicam
Gamifant,EMEA/H/C/004386,Refused,emapalumab,emapalumab
Dexamethasone Taw,EMEA/H/C/005740,Application withdrawn,dexamethasone phosphate,Dexamethasone (sodium phosphate)
Truberzi,EMEA/H/C/004098,Withdrawn,eluxadoline,eluxadoline
Lextemy,EMEA/H/C/005611,Withdrawn,bevacizumab,bevacizumab
Incurin,EMEA/V/C/000047,Authorised,estriol,estriol
Prepandrix,EMEA/H/C/000822,Withdrawn,"prepandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted)",A/Indonesia/05/2005 (H5N1) like strain used (PR8-IBCDC-RG2)
Enzepi,EMEA/H/C/002070,Withdrawn,pancreas powder,pancreas powder
Udenyca,EMEA/H/C/004413,Withdrawn,pegfilgrastim,pegfilgrastim
Proteq West Nile,EMEA/V/C/002005,Authorised,West Nile fever vaccine (live recombinant),West Nile recombinant canarypox virus (vCP2017 virus)
Halimatoz,EMEA/H/C/004866,Withdrawn,adalimumab,adalimumab
Yttriga,EMEA/H/C/000596,Authorised,yttrium [90Y] chloride,yttrium (90Y) chloride
Clopidogrel ratiopharm GmbH,EMEA/H/C/001165,Withdrawn,clopidogrel,clopidogrel
Velactis,EMEA/V/C/003739,Withdrawn,cabergoline,cabergoline
ViraferonPeg,EMEA/H/C/000329,Withdrawn,peginterferon alfa-2b,peginterferon alfa-2b
Qutavina,EMEA/H/C/005388,Withdrawn,teriparatide,teriparatide
Puldysa,EMEA/H/C/005123,Application withdrawn,idebenone,idebenone;titanium dioxide
Sebivo,EMEA/H/C/000713,Withdrawn,telbivudine,telbivudine
Panretin,EMEA/H/C/000279,Withdrawn,alitretinoin,alitretinoin
Turalio,EMEA/H/C/004832,Refused,pexidartinib,pexidartinib
Artobend,EMEA/H/C/004598,Application withdrawn,autologous human chondrocytes in vitro expanded,autologous human chondrocytes in vitro expanded
Alpivab,EMEA/H/C/004299,Withdrawn,peramivir,peramivir
Silapo,EMEA/H/C/000760,Authorised,epoetin zeta,epoetin zeta
Zulvac 8 Bovis,EMEA/V/C/000145,Withdrawn,"inactivated bluetongue virus, serotype 8","inactivated bluetongue virus, serotype 8, strain btv-8/bel2006/02"
Insulatard,EMEA/H/C/000441,Authorised,insulin human (rDNA),Insulin human
Ribavirin Mylan (previously Ribavirin Three Rivers),EMEA/H/C/001185,Withdrawn,ribavirin,ribavirin
Zoledronic acid medac,EMEA/H/C/002359,Authorised,zoledronic acid,zoledronic acid monohydrate
Roctavian,EMEA/H/C/004749,Application withdrawn,valoctocogene roxaparvovec,valoctocogene roxaparvovec
Vepacel,EMEA/H/C/002089,Withdrawn,"prepandemic influenza vaccine (H5N1) (whole virion, inactivated,prepared in cell culture)","Influenza virus (whole virion, inactivated), containing antigen of: A/Vietnam/1203/2004 (H5N1)"
Upkanz,EMEA/H/C/005004,Application withdrawn,deferiprone,Deferiprone
Protaphane,EMEA/H/C/000442,Authorised,insulin human (rDNA),Insulin human
Abilify MyCite,EMEA/H/C/005062,Application withdrawn,aripiprazole,aripiprazole
Rayoqta,EMEA/H/C/005103,Application withdrawn,,abicipar pegol
Actrapid,EMEA/H/C/000424,Authorised,human insulin (rDNA),human insulin
Zerit,EMEA/H/C/000110,Withdrawn,stavudine,stavudine
Imrestor,EMEA/V/C/002763,Authorised,pegbovigrastim,pegbovigrastim
Qtrilmet,EMEA/H/C/004910,Withdrawn,metformin hydrochloride;saxagliptin;dapagliflozin,metformin hydrochloride;saxagliptin;dapagliflozin
CircoMax Myco,EMEA/V/C/005184,Authorised,"porcine circovirus vaccine (inactivated, recombinant);mycoplasma hyopneumoniae vaccine (inactivated)","Inactivated Mycoplasma hyopneumoniae, strain P-5722-3;inactivated recombinant chimeric porcine circovirus type 1 containing the porcine circovirus type 2a open reading frame 2 (ORF2) protein;inactivated recombinant chimeric porcine circovirus type 1 containing the porcine circovirus type 2b ORF2 protein"
Lumark,EMEA/H/C/002749,Authorised,lutetium (177Lu) chloride,lutetium (177Lu) chloride
Sondelbay,EMEA/H/C/005233,Application withdrawn,teriparatide,teriparatide
Ecoporc Shiga,EMEA/V/C/002588,Authorised,genetically modified Shiga-toxin-2e antigen,genetically modified recombinant Shiga-toxin-2e antigen
Visudyne,EMEA/H/C/000305,Authorised,verteporfin,verteporfin
Xiidra,EMEA/H/C/004653,Application withdrawn,,Lifitegrast
Duzallo,EMEA/H/C/004412,Withdrawn,allopurinol;lesinurad,allopurinol;lesinurad
Tulatrixx,EMEA/V/C/005364,Application withdrawn,tulathromycin,tulathromycin
Olazax,EMEA/H/C/001087,Authorised,olanzapine,olanzapine
Zurampic,EMEA/H/C/003932,Withdrawn,lesinurad,lesinurad
Picato,EMEA/H/C/002275,Withdrawn,ingenol mebutate,Ingenol mebutate
Doxorubicin Hydrochloride Tillomed,EMEA/H/C/005194,Application withdrawn,doxorubicin,doxorubicin hydrochloride
Kolbam,EMEA/H/C/002081,Withdrawn,cholic acid,cholic acid
Zemdri,EMEA/H/C/004457,Application withdrawn,,Plazomicin (sulfate)
Rituximab Mabion,EMEA/H/C/005387,Application withdrawn,rituximab,rituximab
Fertavid,EMEA/H/C/001042,Withdrawn,follitropin beta,follitropin beta
Fingolimod Mylan,EMEA/H/C/005282,Application withdrawn,fingolimod,fingolimod hydrochloride 
Olazax Disperzi,EMEA/H/C/001088,Authorised,olanzapine,olanzapine
Helixate NexGen,EMEA/H/C/000276,Withdrawn,octocog alfa,octocog alfa
Erlotinib Accord,EMEA/H/C/005071,Application withdrawn,erlotinib,
Osseor,EMEA/H/C/000561,Withdrawn,strontium ranelate,strontium ranelate
Vynpenta (previously AvacopanChemoCentryx),EMEA/H/C/004487,Application withdrawn,,avacopan
Protelos,EMEA/H/C/000560,Withdrawn,strontium ranelate,strontium ranelate
Suvaxyn PCV,EMEA/V/C/000149,Withdrawn,adjuvanted inactivated vaccine against porcine circovirus type 2 in piglets,"porcine circovirus recombinant virus (CPCV) 1-2, inactivated"
Zulvac 1 Ovis,EMEA/V/C/002335,Withdrawn,"inactivated bluetongue virus, serotype-1","inactivated bluetongue virus, serotype-1"
Zulvac 1 Bovis,EMEA/V/C/002334,Withdrawn,"inactivated bluetongue virus, serotype 1","inactivated bluetongue virus, serotype 1"
Kromeya,EMEA/H/C/005158,Withdrawn,adalimumab,adalimumab
Clopidogrel BGR (previously Zylagren),EMEA/H/C/001138,Authorised,clopidogrel,clopidogrel (as hydrogen sulfate)
Ekesivy,EMEA/H/C/005141,Application withdrawn,,diclofenamide
Xiapex,EMEA/H/C/002048,Withdrawn,collagenase Clostridium histolyticum,collagenase Clostridium histolyticum
Varuby,EMEA/H/C/004196,Withdrawn,rolapitant,rolapitant
Lifmior,EMEA/H/C/004167,Lapsed,etanercept,etanercept
Iblias,EMEA/H/C/004147,Withdrawn,octocog alfa,octocog alfa
Nonafact,EMEA/H/C/000348,Withdrawn,human coagulation factor IX,human coagulation factor IX
Luxceptar,EMEA/H/C/002397,Application withdrawn,,
Zalmoxis,EMEA/H/C/002801,Withdrawn,allogeneic T cells genetically modified with a retroviral vector encoding for a truncated form of the human low affinity nerve growth factor receptor (?LNGFR) and the herpes simplex I virus thymidine kinase (HSV-TK Mut2),allogeneic T cells genetically modified with a retroviral vector encoding for a truncated form of the human low affinity nerve growth factor receptor (?LNGFR) and the herpes simplex I virus thymidine kinase (HSV-TK Mut2)
Xyndari,EMEA/H/C/004734,Application withdrawn,,
Idhifa,EMEA/H/C/004324,Application withdrawn,,
Nuzyra,EMEA/H/C/004715,Application withdrawn,,
Fexeric,EMEA/H/C/003776,Lapsed,ferric citrate coordination complex,ferric citrate coordination complex
Linhaliq,EMEA/H/C/004394,Application withdrawn,,
Aerivio Spiromax,EMEA/H/C/002752,Withdrawn,salmeterol;fluticasone propionate,salmeterol xinafoate;fluticasone propionate
Vanflyta,EMEA/H/C/004468,Refused,quizartinib,quizartinib dihydrochloride
Clopidogrel/Acetylsalicylic acid Zentiva (previously DuoCover),EMEA/H/C/001144,Authorised,clopidogrel;acetylsalicylic acid,clopidogrel;acetylsalicylic acid
Thorinane,EMEA/H/C/003795,Lapsed,enoxaparin sodium,enoxaparin sodium
Imatinib medac,EMEA/H/C/002692,Withdrawn,imatinib,imatinib
Taxespira (previously Docetaxel Hospira UK Limited ),EMEA/H/C/003925,Withdrawn,docetaxel,docetaxel trihydrate
Horse Allo 20,EMEA/V/C/004328,Refused,allogeneic equine adipose-derived mesenchymal stem cells,allogeneic equine adipose-derived mesenchymal stem cells
Lartruvo,EMEA/H/C/004216,Revoked,olaratumab,olaratumab
Daklinza,EMEA/H/C/003768,Expired,daclatasvir,daclatasvir dihydrochloride
Doxolipad,EMEA/H/C/004110,Refused,doxorubicin,doxorubicin hydrochloride
Radicava,EMEA/H/C/004938,Application withdrawn,,edaravone
Bovalto Ibraxion,EMEA/V/C/000051,Withdrawn,infectious bovine rhinotracheitis vaccine (inactivated),inactivated IBR virus
Cabazitaxel Teva,EMEA/H/C/004951,Refused,cabazitaxel,cabazitaxel
Rituzena (previously Tuxella),EMEA/H/C/004724,Withdrawn,rituximab,rituximab
ATryn,EMEA/H/C/000587,Withdrawn,antithrombin alfa,antithrombin alfa
Airexar Spiromax,EMEA/H/C/004267,Withdrawn,salmeterol xinafoate;fluticasone propionate,salmeterol;fluticasone propionate
ABP 710,EMEA/H/C/005020,Application withdrawn,infliximab,infliximab
Ingelvac PCV FLEX,EMEA/V/C/004645,Withdrawn,porcine circovirus vaccine (inactivated),porcine circovirus type 2 ORF2 protein
Ketek,EMEA/H/C/000354,Withdrawn,telithromycin,telithromycin
Ambrisentan Zentiva,EMEA/H/C/004955,Application withdrawn,ambrisentan,ambrisentan
Arzerra,EMEA/H/C/001131,Withdrawn,ofatumumab,ofatumumab
Canakinumab Novartis,EMEA/H/C/004754,Application withdrawn,canakinumab,Canakinumab
Parvoduk,EMEA/V/C/002740,Lapsed,live attenuated Muscovy duck parvovirus,live attenuated Muscovy duck parvovirus
Efgratin,EMEA/H/C/004789,Application withdrawn,pegfilgrastim,pegfilgrastim
Cavoley,EMEA/H/C/005008,Application withdrawn,pegfilgrastim,pegfilgrastim
Silgard,EMEA/H/C/000732,Withdrawn,"human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)",human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein
Equitend,EMEA/V/C/002774,Application withdrawn,,
Vantobra,EMEA/H/C/002633,Withdrawn,tobramycin,tobramycin
Longrange,EMEA/V/C/004291,Refused,eprinomectin,eprinomectin
Altargo,EMEA/H/C/000757,Withdrawn,retapamulin,retapamulin
Topotecan Actavis,EMEA/H/C/001031,Withdrawn,topotecan,topotecan
Cyltezo,EMEA/H/C/004319,Withdrawn,adalimumab,adalimumab
Solymbic,EMEA/H/C/004373,Withdrawn,adalimumab,adalimumab
Epjevy,EMEA/H/C/004793,Application withdrawn,,
Eperzan,EMEA/H/C/002735,Withdrawn,albiglutide,albiglutide
Eladynos,EMEA/H/C/004157,Refused,abaloparatide,abaloparatide
Graspa,EMEA/H/C/004736,Application withdrawn,asparaginase,asparaginase
Lusduna,EMEA/H/C/004101,Withdrawn,insulin glargine,insulin glargine
Ivabradine JensonR,EMEA/H/C/004217,Withdrawn,ivabradine,ivabradine hydrochloride
Fyzoclad,EMEA/H/C/005253,Application withdrawn,adalimumab,adalimumab
Entolimod TMC,EMEA/H/C/004656,Application withdrawn,,Entolimod
Exondys,EMEA/H/C/004355,Refused,eteplirsen,eteplirsen
Zoledronic acid Teva Pharma,EMEA/H/C/002437,Withdrawn,zoledronic acid,zoledronic acid
Zydax,EMEA/V/C/004375,Application withdrawn,,
HopGuard Gold,EMEA/V/C/002836,Application withdrawn,,
Trobalt,EMEA/H/C/001245,Withdrawn,retigabine,retigabine
BTVPUR AlSap 2-4,EMEA/V/C/000139,Withdrawn,inactivated adjuvanted vaccine against bluetongue virus serotype 2 and 4 infections,bluetongue-virus serotype-2 antigen;bluetongue-virus serotype-4 antigen
Ionsys,EMEA/H/C/002715,Withdrawn,fentanyl,fentanyl hydrochloride
Raplixa,EMEA/H/C/002807,Withdrawn,human fibrinogen;human thrombin,human fibrinogen;human thrombin
Imatinib Teva B.V.,EMEA/H/C/004748,Withdrawn,imatinib,imatinib mesilate
Dexxience,EMEA/H/C/004309,Refused,betrixaban,betrixaban maleate
Trifexis,EMEA/V/C/002635,Expired,spinosad;milbemycin oxime,spinosad;milbemycin oxime
Treprostinil SciPharm Sàrl,EMEA/H/C/004847,Application withdrawn,treprostinil,treprostinil
Angiox,EMEA/H/C/000562,Withdrawn,bivalirudin,Bivalirudin
Gripovac 3,EMEA/V/C/000157,Withdrawn,inactivated influenza-A virus,inactivated influenza-A virus
Intanza,EMEA/H/C/000957,Withdrawn,"influenza vaccine (split virion, inactivated)","influenza virus (inactivated, split) of the following strains:A/California/7/2009 (H1N1)pdm09 - like strain (A/California/7/2009, NYMC X-179A)A/Hong Kong/4801/2014 (H3N2) - like strain (A/Hong Kong/4801/2014, NYMC X-263B)B/Brisbane/60/2008 - like strain (B/Brisbane/60/2008, wild type)"
Numient,EMEA/H/C/002611,Withdrawn,levodopa;carbidopa,levodopa;carbidopa
Ariclaim,EMEA/H/C/000552,Withdrawn,duloxetine,duloxetine
Restaysis,EMEA/H/C/004229,Application withdrawn,ciclosporin,ciclosporin
Clopidogrel HCS,EMEA/H/C/002255,Authorised,clopidogrel,clopidogrel (as hydrochloride)
Victrelis,EMEA/H/C/002332,Withdrawn,boceprevir,Boceprevir
Alsitek,EMEA/H/C/004398,Refused,masitinib,Masitinib mesilate
Raligize,EMEA/H/C/004473,Application withdrawn,,
Certifect,EMEA/V/C/002002,Withdrawn,fipronil / amitraz / (S)-methoprene,fipronil;amitraz;(S)-methoprene
Xeljanz,EMEA/H/C/002542,Refused,tofacitinib,tofacitinib
Topotecan Teva,EMEA/H/C/001071,Withdrawn,topotecan,topotecan
Rotigotine Mylan,EMEA/H/C/004286,Application withdrawn,rotigotine,rotigotine
Maci,EMEA/H/C/002522,Expired,matrix-applied characterised autologous cultured chondrocytes,autologous cultured chondrocytes
Prohippur,EMEA/H/C/004150,Application withdrawn,,sodium benzoate
Zinbryta,EMEA/H/C/003862,Withdrawn,daclizumab,daclizumab
Fulphila,EMEA/H/C/004262,Application withdrawn,pegfilgrastim,pegfilgrastim
Olysio,EMEA/H/C/002777,Withdrawn,simeprevir,simeprevir
BTVPUR AlSap 1,EMEA/V/C/002230,Withdrawn,bluetongue-virus serotype-1 antigen,bluetongue-virus serotype-1 antigen
BTVPUR Alsap 8,EMEA/V/C/000146,Withdrawn,adjuvanted bluetongue virus vaccine,bluetongue virus serotype 8 antigen
Vibativ,EMEA/H/C/001240,Withdrawn,telavancin,telavancin
Prandin,EMEA/H/C/000362,Authorised,repaglinide,repaglinide
Insulin Human Winthrop,EMEA/H/C/000761,Withdrawn,insulin human,Insulin human
Panacur AquaSol,EMEA/V/C/002008,Authorised,fenbendazole,fenbendazole
Masipro,EMEA/H/C/004159,Refused,masitinib,Masitinib mesilate
Evarrest,EMEA/H/C/002515,Withdrawn,human fibrinogen;human thrombin,human fibrinogen;human thrombin
IDflu,EMEA/H/C/000966,Withdrawn,"influenza vaccine (split virion, inactivated)","influenza virus (inactivated, split) of the following strains:A/California/7/2009 (H1N1)pdm09 - like strain (A/California/7/2009, NYMC X-179A)A/Hong Kong/4801/2014 (H3N2) - like strain (A/Hong Kong/4801/2014, NYMC X-263B)B/Brisbane/60/2008 - like strain (B/Brisbane/60/2008, wild type)"
Balimek,EMEA/H/C/004052,Application withdrawn,binimetinib,binimetinib
Tasermity,EMEA/H/C/003968,Lapsed,sevelamer hydrochloride,sevelamer hydrochloride
Fanaptum,EMEA/H/C/004149,Refused,iloperidone,iloperidone
Ristempa,EMEA/H/C/003910,Withdrawn,pegfilgrastim,pegfilgrastim
Infinia,EMEA/H/C/003934,Application withdrawn,,alpha-1-antitrypsin
LeukoScan,EMEA/H/C/000111,Withdrawn,sulesomab,sulesomab
Zafiride,EMEA/H/C/004455,Application withdrawn,,
Libertek,EMEA/H/C/002399,Withdrawn,roflumilast,roflumilast
Daliresp,EMEA/H/C/002398,Withdrawn,roflumilast,roflumilast
Qizenday,EMEA/H/C/004153,Application withdrawn,,
Onzeald,EMEA/H/C/003874,Refused,etirinotecan pegol,etirinotecan pegol
EnCyzix,EMEA/H/C/004198,Refused,enclomifene,enclomifene citrate
Clopidogrel Acino,EMEA/H/C/001166,Withdrawn,clopidogrel,clopidogrel
Optimark,EMEA/H/C/000745,Withdrawn,gadoversetamide,gadoversetamide
Somatropin Biopartners,EMEA/H/C/002196,Lapsed,somatropin,somatropin
Adlumiz,EMEA/H/C/003847,Refused,anamorelin,anamorelin hydrochloride
Ogivri,EMEA/H/C/004346,Application withdrawn,,
Prevenar,EMEA/H/C/000323,Withdrawn,"pneumococcal saccharide conjugated vaccine, adsorbed",pneumococcal oligosaccharide serotype 18C;Pneumococcal polysaccharide serotype 19F;Pneumococcal polysaccharide serotype 23F;Pneumococcal polysaccharide serotype 4;Pneumococcal polysaccharide serotype 6B;Pneumococcal polysaccharide serotype 9V;Pneumococcal polysaccharide serotype 14
Human IGG1 monoclonal antibody specific for human interleukin-1 alpha XBiotech,EMEA/H/C/004388,Refused,human IgG1 monoclonal antibody specific for human interleukin-1 alpha,human IgG1 monoclonal antibody specific for human interleukin-1 alpha
Plivensia,EMEA/H/C/004165,Application withdrawn,,sirukumab
Kyomarc,EMEA/H/C/004360,Application withdrawn,bevacizumab,bevacizumab
